Date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT
2025-07-21,212.03358459472656,291.41064453125,229.3000030517578,302.20428466796875,229.32000732421875,408.8952331542969,261.8240661621094,67.92981719970703,146.39706420898438,120.83999633789062,702.2407836914062,361.9863586425781,219.23529052734375,281.2472839355469,163.16236877441406,289.5622253417969,69.53671264648438,294.0704650878906,151.46630859375,78.53423309326172,508.2716064453125,73.63731384277344,171.37034606933594,153.9534149169922,339.7684326171875,262.18145751953125,280.3711853027344,349.63104248046875,41.771949768066406,95.44706726074219
2025-07-22,213.9495391845703,301.0826721191406,227.47000122070312,303.371337890625,228.47999572753906,415.99481201171875,263.1318054199219,67.75090026855469,146.74916076660156,121.05999755859375,696.6805419921875,368.9170227050781,220.50286865234375,278.5307312011719,166.70635986328125,290.0199890136719,69.12983703613281,297.48114013671875,149.86065673828125,80.81173706054688,503.4983825683594,75.00023651123047,167.0205841064453,157.2205810546875,338.5439453125,265.70721435546875,283.3424377441406,350.5475769042969,42.234004974365234,95.62664794921875
2025-07-23,213.7000732421875,304.5594482421875,228.2899932861328,307.8798828125,233.8800048828125,426.3650207519531,266.7554931640625,68.20813751220703,149.76161193847656,122.94000244140625,713.699462890625,374.2268981933594,223.0100860595703,278.58013916015625,167.8678436279297,295.32421875,68.6336441040039,296.4370422363281,149.48402404785156,83.15856170654297,504.09625244140625,76.35320281982422,170.77037048339844,157.18084716796875,341.4010925292969,263.6754150390625,290.6761779785156,353.96484375,42.116031646728516,95.45704650878906
2025-07-24,213.31089782714844,303.8995666503906,232.22999572753906,307.4709167480469,231.27000427246094,428.28948974609375,267.23468017578125,67.88011932373047,152.41217041015625,121.94999694824219,715.3505859375,370.98529052734375,209.2251434326172,257.34161376953125,168.32447814941406,295.1152038574219,68.57408905029297,292.8175964355469,147.97747802734375,83.28728485107422,509.0887451171875,75.03007507324219,173.73020935058594,157.70716857910156,338.6833190917969,260.93646240234375,276.8334655761719,352.6497497558594,42.35197830200195,96.3749008178711
2025-07-25,213.43064880371094,301.959228515625,231.44000244140625,310.8224182128906,233.05999755859375,432.50738525390625,268.6421813964844,68.27771759033203,151.4438934326172,121.47000122070312,725.098388671875,373.22259521484375,209.00144958496094,256.56121826171875,167.07366943359375,297.1752014160156,68.64356231689453,296.7850646972656,149.93003845214844,83.88141632080078,511.9088439941406,75.87567901611328,173.49021911621094,157.20071411132812,338.5738220214844,260.000244140625,279.2979431152344,355.70831298828125,42.35197830200195,97.24288177490234
2025-07-28,213.6002960205078,296.7489929199219,232.7899932861328,309.9546203613281,236.41000366210938,431.69970703125,269.78021240234375,67.51233673095703,152.852294921875,120.37000274658203,719.7968139648438,375.1019592285156,209.7843780517578,260.0087585449219,165.00881958007812,296.83685302734375,67.57177734375,297.5308532714844,150.703125,83.2377700805664,510.7030334472656,78.83032989501953,176.7400360107422,156.0189666748047,334.6514892578125,253.88494873046875,280.3512878417969,354.1441345214844,41.64414596557617,97.38255310058594
2025-07-29,210.8261260986328,298.9847717285156,231.00999450683594,307.76019287109375,226.0800018310547,428.8179626464844,266.9252014160156,67.5521011352539,153.5858612060547,119.91000366210938,728.0824584960938,375.2113037109375,206.6527099609375,259.218505859375,166.8850555419922,295.6028747558594,68.85195922851562,300.96136474609375,150.44541931152344,81.82176208496094,510.7727966308594,77.92503356933594,175.50009155273438,155.52244567871094,335.4578552246094,258.77520751953125,259.4332580566406,349.979736328125,41.98822784423828,98.10087585449219
2025-07-30,208.6107940673828,296.8277587890625,230.19000244140625,302.6431579589844,225.83999633789062,432.8763122558594,264.34967041015625,67.87017822265625,150.19195556640625,119.54000091552734,726.8590087890625,369.9809875488281,207.06280517578125,257.09466552734375,166.04122924804688,298.1803283691406,68.22676086425781,301.8960266113281,145.3212127685547,80.95037078857422,511.4404296875,76.2835693359375,179.25990295410156,151.81834411621094,330.4902648925781,257.87884521484375,264.3721008300781,349.6011657714844,41.88008499145508,97.36259460449219
2025-07-31,207.1339111328125,290.65228271484375,234.11000061035156,298.55352783203125,221.83999633789062,436.76513671875,257.88092041015625,67.67137908935547,148.31407165527344,119.11000061035156,719.7371826171875,365.436767578125,207.23989868164062,250.07110595703125,163.53961181640625,294.80670166015625,67.37329864501953,298.37603759765625,147.89817810058594,77.35588073730469,531.62939453125,74.3038558959961,177.85997009277344,149.42507934570312,329.39520263671875,259.1935119628906,247.99542236328125,344.18145751953125,42.037384033203125,97.75169372558594
2025-08-01,201.95480346679688,292.40545654296875,214.75,293.5262451171875,221.89999389648438,427.4618835449219,250.30413818359375,66.70719909667969,148.07933044433594,116.58999633789062,705.7918090820312,371.5520935058594,202.91519165039062,247.0088348388672,166.11073303222656,287.969970703125,68.33592224121094,301.1801452636719,143.13079833984375,78.51443481445312,522.2722778320312,74.23421478271484,173.710205078125,149.60382080078125,341.86895751953125,257.28125,236.2793426513672,338.0842590332031,42.155357360839844,98.260498046875
